,Basket ID,Hair Conditioner,Lemons,Standard coffee,Frozen Chicken Wings,98pct. Fat Free Hamburger,Sugar Cookies,Onions,Deli Ham,Dishwasher Detergent,Beets,40 Watt Lightbulb,Ice Cream,Cottage Cheese,Plain English Muffins,Strawberry Soda,Vanilla Ice Cream,Potato Chips,Strawberry Yogurt,Diet Soda,D Cell Batteries,Paper Towels,Mint Chocolate Bar,Salsa Dip,Buttered Popcorn,Cheese Crackers,Chocolate Bar,Rice Soup,Mouthwash,Sugar,Cheese Flavored Chips,Sweat Potatoes,Deodorant,Waffles,Decaf Coffee,Smoked Turkey Sliced,Screw Driver,Sesame Oil,Red Wine,60 Watt Lightbulb,Cream Soda,Apple Fruit Roll,Noodle Soup,Ice Cream Sandwich,Soda Crackers,Lettuce,AA Cell Batteries,Honey Roasted Peanuts,Frozen Cheese Pizza,Tomato Soup,Manicotti,Toilet Bowl Cleaner,Liquid Laundry Detergent,Instant Rice,Green Pepper,Frozen Broccoli,Chardonnay Wine,Brown Sugar Grits,Canned Peas,Skin Moisturizer,Avocado Dip,Blueberry Muffins,Apple Cinnamon Waffles,Chablis Wine,Cantaloupe,Shrimp Cocktail Sauce,100 Watt Lightbulb,Whole Green Beans,Turkey TV Dinner,Wash Towels,Dog Food,Cat Food,Frozen Sausage Pizza,Frosted Donuts,Shrimp,Summer Sausage,Plums,Mild Cheddar Cheese,Cream of Wheat,Fresh Lima Beans,Flavored Fruit Bars,Mushrooms,Flour,Plain Rye Bread,Jelly Filled Donuts,Apple Sauce,Hot Chicken Wings,Orange Juice,Strawberry Jam,Chocolate Chip Cookies,Vegetable Soup,Oats and Nuts Cereal,Fruit Roll,Corn Oil,Corn Flake Cereal,75 Watt Lightbulb,Mushroom Pizza - Frozen,Sour Cream,Deli Salad,Deli Turkey,Glass Cleaner,Brown Sugar,English Muffins,Apple Soda,Strawberry Preserves,Pepperoni Pizza - Frozen,Plain Oatmeal,Beef Soup,Trash Bags,Corn Chips,Tangerines,Hot Dogs,Can Opener,Dried Apples,Grape Juice,Carrots,Frozen Shrimp,Grape Fruit Roll,Merlot Wine,Raisins,Cranberry Juice,Shampoo,Pancake Mix,Paper Plates,Bologna,2pct. Milk,Daily Newspaper,Popcorn Salt,Frozen Cauliflower,Vanilla Wafers,Tomatoes,Vegetable Oil,Chicken Soup,Eggs,Canned Mixed Fruit,Raisin Pudding,Celery,Oatmeal,Hot Chocolate,Spaghetti,Napkins,Blueberry Waffles,White Bread,Grape Jelly,Cheese Spread,Steak TV Dinner,Fudge Cookies,Chicken Breast - Frozen,Diet Cola,Limes,Sharp Cheddar Cheese,Cabbage,Nasal Spray,Dried Apricots,Cola,Plastic Knives,Liquid Soap,Toothbrush,Cranberry Muffins,Peaches,Apples,Regular Hamburger,Chardonnay,Sunglasses,Turkey Noodle Soup,Frozen Carrots,Bananas,Sandwich Bags,C Cell Batteries,Import Beer,Hot Dog Buns,Pepper,Plain Bagels,Window Cleaner,Oranges,Microwave Popcorn,Toothpaste,Blueberry Bagels,Apple Jam,Whole Corn,Fruit Drink,Cauliflower,French Roast Coffee,Buttermilk,Beef Hot Dogs,Black-eyed Peas,Ground Beef,Peanut Butter Cookies,Strawberry Drink,Cinnamon Oatmeal,Pastry Snacks,Grape Jam,Mandarin Oranges,Mango Drink,Taco Salad,Pretzels,Plain Blueberry Muffins,Canned Tuna,Licorice,Garlic Bread,Roasted Chicken,Frozen Peas,Hamburger Buns,Multi-Grain Wheat Bread,Tissue,Rye Bread,Peach Shampoo,French Fries,Raspberry Fruit Roll,Sesame Crackers,Heavy Duty Cleaner,Ramen Noodles,Soft Tissue,Orange Flavored Fruit Bars,Cheese,Flathead Screwdriver,Polish Sausage,Apple Drink,Domestic Beer,Mixed Nuts,Chicken TV Dinner,Tissues,Garlic,Dried Fruit Mix,Cole Slaw,Donuts,Sliced Turkey,Sliced Chicken,Broccoli,Ranch Dip,Sponge,Frozen Corn,Paper Cups,Wheat Bread,Oven Cleaner,Tomato Sauce,Plastic Forks,Popcorn,Creamy Peanut Butter,Sweet Relish,Plain Muffins,Cheese Dip,Colby Cheese,Chicken Noodle Soup,Fingernail Clippers,Corned Beef,Lollipops,Plain White Bread,Blueberry Yogurt,Frozen Chicken Thighs,Mixed Vegetables,Souring Pads,Tuna Spread,Toilet Paper,White Wine,Columbian Coffee,Ravioli,White Zinfandel Wine,Matches,Strawberry Fruit Roll,Red Pepper,Whole Milk,Canned Beets,Graham Crackers,Scissors,Grape Flavored Fruit Bars,Muffins,Peas,Counter Cleaner,Creamed Corn,Baked Beans,Cream Cheese,Bubble Gum,Hair Brush,Grapefruit Juice,Chicken Legs,Regular Coffee,Apple Juice,Provolone Cheese,Canned Peaches,Plastic Spoons,Brown Sugar Oatmeal,Oven Mitt,BBQ Potato Chips,Cookies,Dandruff Shampoo,Aspirin,Sweet Potatoes,Canned Tomatoes,Chunky Peanut Butter,Wood Polish,Squash,Strawberry Waffles,Pancakes,Salt,Green Beans,Flavored Ice,Imported Beer,Grits,Apple Jelly,Beef Jerky,Potatoes,Small Eggs,Silver Cleaner
0,C11867,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Peaches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,C5096,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Vegetable Oil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Frozen Corn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,C4295,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Plums,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,C2837,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pancake Mix,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,C2693,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cheese,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,C3497,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cauliflower,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,C2696,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2pct. Milk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,C1895,,,,,98pct. Fat Free Hamburger,,,,,,,,,,,,Potato Chips,,,,,,,,,,,,,,,,,,,,Sesame Oil,,,,,,Ice Cream Sandwich,,,,,Frozen Cheese Pizza,,,,,,,,,,,,,,,,,,,,,,,,Frozen Sausage Pizza,,,,,,,,,,,,,,,,,,,,,,,,,,Deli Salad,,,Brown Sugar,,,,,,,,Corn Chips,,,,,,,,,Merlot Wine,,,,,,,,,,,,,,,,,,,,,,,,White Bread,,,,,,Diet Cola,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Peanut Butter Cookies,,,,,,,,Pretzels,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lollipops,,,,,,,,,,,,,,,,,,,,,,,,Baked Beans,,,,,,,,,,,,,,,,,,,,,,,,Salt,,,,,,,,,
8,C9524,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Avocado Dip,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
